booking_id,feedback_date,feedback_score,comments
144,2022-02-21 02:00:00,7.0,pzvj
145,2022-03-17 16:00:00,7.0,tbhv
146,2022-02-27 23:00:00,7.0,eca
147,2022-04-16 15:00:00,9.0,xrzd
148,2022-03-22 03:00:00,7.0,osdp
149,2022-08-26 08:00:00,4.0,haew
150,2022-05-23 13:00:00,9.0,rlxc
151,2022-04-12 15:00:00,4.0,bkbo
152,2022-07-10 02:00:00,9.0,vrpr
153,2022-05-13 19:00:00,7.0,rhwo
154,2022-03-29 22:00:00,2.0,hekt
155,2022-03-24 08:00:00,4.0,egvo
156,2022-06-16 04:00:00,7.0,yxxl
157,2022-03-28 20:00:00,10.0,veyx
158,2022-03-28 20:00:00,10.0,kqrb
159,2022-04-16 22:00:00,5.0,jcgx
160,2022-05-14 05:00:00,6.0,omzb
161,2022-02-17 16:00:00,10.0,xhor
162,2022-03-18 07:00:00,10.0,ofzz
163,2022-04-27 11:00:00,3.0,ueok
164,2022-03-28 18:00:00,8.0,hox
165,2022-07-21 19:00:00,8.0,lgli
166,2022-06-19 03:00:00,2.0,nsru
167,2022-04-25 02:00:00,9.0,xtjz
168,2022-10-03 19:00:00,2.0,yncb
169,2022-02-10 15:00:00,6.0,hqth
170,2022-03-07 03:00:00,10.0,gjls
171,2022-09-29 02:00:00,8.0,nsry
172,2022-04-28 23:00:00,2.0,xwwj
173,2022-05-18 05:00:00,9.0,vhce
174,2022-04-27 12:00:00,8.0,ahka
175,2022-04-01 12:00:00,7.0,anhz
176,2022-09-21 13:00:00,8.0,vhiu
177,2022-04-01 23:00:00,2.0,boas
178,2022-07-18 15:00:00,10.0,rnbt
179,2022-03-16 02:00:00,4.0,hdtr
180,2022-03-09 20:00:00,2.0,tzqt
181,2022-04-01 01:00:00,6.0,xzfe
182,2022-05-08 20:00:00,7.0,vxej
183,2022-06-20 01:00:00,4.0,mncu
184,2022-07-29 04:00:00,8.0,fmj
185,2022-02-23 03:00:00,8.0,yncb
186,2022-04-20 15:00:00,9.0,gnhm
187,2022-04-22 18:00:00,3.0,rgep
188,2022-03-16 19:00:00,2.0,vjxd
189,2022-04-15 17:00:00,6.0,xwwr
190,2022-06-17 00:00:00,9.0,jkuh
191,2022-06-06 21:00:00,5.0,okqw
192,2022-04-12 13:00:00,6.0,vhiu
193,2022-09-03 03:00:00,9.0,hbxn
194,2022-03-05 10:00:00,6.0,tmac
195,2022-06-22 15:00:00,7.0,swjl
196,2022-06-28 14:00:00,6.0,fefv
197,2022-05-07 01:00:00,9.0,yscf
198,2022-05-22 15:00:00,8.0,mpkp
199,2022-04-29 07:00:00,5.0,rwbk
200,2022-03-02 10:00:00,9.0,royu
201,2022-02-13 20:00:00,8.0,mqiz
202,2022-05-11 20:00:00,5.0,wpgm
203,2022-05-17 01:00:00,4.0,ocmo
204,2022-09-05 20:00:00,6.0,ydlo
205,2022-04-23 17:00:00,4.0,rhse
206,2022-04-26 09:00:00,7.0,mnax
207,2022-05-15 14:00:00,3.0,mswu
208,2022-02-15 18:00:00,8.0,nsru
209,2022-06-26 18:00:00,3.0,qelr
210,2022-05-20 22:00:00,6.0,pqxp
211,2022-05-16 13:00:00,7.0,zfep
212,2022-03-03 07:00:00,9.0,sbjk
213,2022-05-30 09:00:00,4.0,zwit
214,2022-02-28 11:00:00,10.0,cywm
215,2022-04-20 03:00:00,8.0,hhvx
216,2022-06-11 15:00:00,8.0,jbwc
217,2022-06-24 18:00:00,6.0,qfhs
218,2022-05-04 22:00:00,8.0,wcra
219,2022-03-30 02:00:00,6.0,saio
220,2022-05-19 03:00:00,4.0,aofb
221,2022-03-25 09:00:00,5.0,axil
222,2022-08-14 21:00:00,5.0,mncu
223,2022-06-27 12:00:00,6.0,ynkj
224,2022-04-06 20:00:00,6.0,eca
225,2022-04-26 06:00:00,3.0,mdoe
226,2022-03-18 17:00:00,4.0,yavl
227,2022-05-03 04:00:00,5.0,aofb
228,2022-05-28 11:00:00,4.0,anhz
229,2022-06-13 17:00:00,3.0,itre
230,2022-06-10 16:00:00,8.0,csfr
231,2022-06-09 01:00:00,9.0,xebq
232,2022-03-11 10:00:00,2.0,vodj
233,2022-05-07 06:00:00,4.0,jkru
234,2022-04-08 18:00:00,5.0,aofb
235,2022-05-27 16:00:00,6.0,nlbe
236,2022-04-05 13:00:00,8.0,dzol
237,2022-08-08 19:00:00,8.0,tfra
238,2022-09-03 23:00:00,6.0,yuqf
239,2022-08-07 17:00:00,4.0,iplc
240,2022-06-20 10:00:00,10.0,gouo
241,2022-05-01 16:00:00,5.0,ulqh
242,2022-02-21 03:00:00,3.0,wmze
243,2022-05-21 21:00:00,4.0,klui
244,2022-05-31 18:00:00,9.0,fpik
245,2022-09-18 17:00:00,2.0,yrsp
246,2022-06-16 16:00:00,5.0,qhkp
247,2022-06-13 19:00:00,8.0,nbfb
248,2022-05-12 10:00:00,10.0,qxeq
249,2022-04-20 21:00:00,4.0,ozta
250,2022-03-26 18:00:00,7.0,cywm
251,2022-04-11 06:00:00,6.0,yavl
252,2022-02-22 05:00:00,3.0,djzn
253,2022-07-21 20:00:00,4.0,wesh
254,2022-09-02 07:00:00,4.0,mncu
255,2022-05-06 17:00:00,3.0,ntsq
256,2022-03-08 09:00:00,3.0,okkj
257,2022-03-01 12:00:00,3.0,ngig
258,2022-05-25 15:00:00,9.0,gmhp
259,2022-04-22 06:00:00,4.0,wyjd
260,2022-06-11 19:00:00,3.0,gzz
261,2022-03-20 20:00:00,3.0,txvn
262,2022-02-25 22:00:00,3.0,qfhs
263,2022-05-19 04:00:00,5.0,rhul
264,2022-04-14 01:00:00,9.0,pgtd
265,2022-03-31 10:00:00,4.0,vyyb
266,2022-05-09 19:00:00,9.0,vrpr
267,2022-10-14 11:00:00,7.0,pgpp
268,2022-04-03 23:00:00,8.0,anwr
269,2022-08-04 17:00:00,8.0,xwan
270,2022-05-06 02:00:00,8.0,loai
271,2022-08-03 17:00:00,7.0,xwjx
272,2022-04-02 19:00:00,2.0,udyb
273,2022-02-23 17:00:00,8.0,hkkj
274,2022-04-19 04:00:00,6.0,gnhm
275,2022-04-08 02:00:00,4.0,tpym
276,2022-05-15 08:00:00,8.0,nnol
277,2022-04-19 16:00:00,10.0,nsxn
278,2022-08-31 04:00:00,9.0,rzvf
279,2022-05-11 13:00:00,7.0,hqth
280,2022-08-09 15:00:00,6.0,tjlw
281,2022-03-06 23:00:00,2.0,pylf
282,2022-02-20 03:00:00,5.0,sngw
283,2022-04-02 05:00:00,8.0,manu
284,2022-03-12 10:00:00,4.0,krlu
285,2022-06-25 12:00:00,6.0,exq
286,2022-06-24 15:00:00,4.0,cybl
287,2022-06-12 16:00:00,2.0,juqa
288,2022-04-10 01:00:00,8.0,gahr
289,2022-04-08 16:00:00,3.0,ejof
290,2022-10-21 05:00:00,8.0,ejeo
291,2022-04-07 17:00:00,8.0,aasw
292,2022-04-12 15:00:00,4.0,srkp
293,2022-04-17 11:00:00,6.0,wpvh
294,2022-03-13 16:00:00,8.0,haew
295,2022-02-28 11:00:00,5.0,pcrk
296,2022-03-14 23:00:00,9.0,asom
297,2022-04-21 12:00:00,2.0,nsry
298,2022-05-28 19:00:00,9.0,jniy
299,2022-04-20 10:00:00,3.0,eca
300,2022-07-16 16:00:00,9.0,zoly
301,2022-05-13 02:00:00,3.0,xnfd
302,2022-07-06 06:00:00,2.0,mtgt
303,2022-06-12 07:00:00,5.0,qjts
304,2022-09-07 07:00:00,9.0,acph
305,2022-04-04 12:00:00,5.0,lrtx
306,2022-04-13 14:00:00,9.0,xqpy
307,2022-06-07 16:00:00,7.0,hmgq
308,2022-10-14 04:00:00,5.0,cszg
309,2022-04-15 00:00:00,4.0,hox
310,2022-09-27 20:00:00,6.0,qxeq
311,2022-04-10 07:00:00,8.0,ejof
312,2022-05-27 14:00:00,4.0,gwpf
313,2022-06-06 18:00:00,2.0,whog
314,2022-05-25 17:00:00,4.0,njbo
315,2022-03-31 15:00:00,2.0,jmgn
316,2022-05-14 14:00:00,9.0,qhkp
317,2022-05-27 06:00:00,6.0,hjei
318,2022-03-06 22:00:00,6.0,ctdo
319,2022-04-11 04:00:00,10.0,styl
320,2022-04-13 02:00:00,8.0,xrzd
321,2022-07-10 07:00:00,6.0,segk
322,2022-05-02 23:00:00,5.0,ahka
323,2022-05-21 21:00:00,10.0,mdoe
324,2022-06-23 07:00:00,5.0,mtyq
325,2022-04-12 14:00:00,3.0,drhi
326,2022-04-27 04:00:00,5.0,btvg
327,2022-03-27 10:00:00,7.0,swjl
328,2022-04-11 03:00:00,6.0,bdyd
329,2022-05-19 16:00:00,9.0,qjts
330,2022-06-10 11:00:00,9.0,kvk
331,2022-04-14 00:00:00,5.0,vodj
332,2022-04-24 00:00:00,9.0,peuq
333,2022-04-29 05:00:00,4.0,ouhe
334,2022-04-15 16:00:00,4.0,avyl
335,2022-03-14 11:00:00,5.0,wpgm
336,2022-08-03 11:00:00,8.0,mcmc
337,2022-03-29 13:00:00,7.0,ygho
338,2022-04-01 04:00:00,8.0,pxqw
339,2022-02-22 23:00:00,5.0,cszg
340,2022-05-08 07:00:00,3.0,ipzv
341,2022-04-28 04:00:00,4.0,cgeb
342,2022-07-12 20:00:00,3.0,ytqt
343,2022-03-10 03:00:00,4.0,tfra
344,2022-04-16 01:00:00,8.0,fmin
345,2022-07-11 15:00:00,2.0,sijn
346,2022-04-18 21:00:00,10.0,nnol
347,2022-06-30 08:00:00,6.0,mzvw
348,2022-04-01 21:00:00,7.0,avvo
349,2022-02-24 08:00:00,7.0,wusb
350,2022-04-23 08:00:00,8.0,jbwc
351,2022-03-31 14:00:00,5.0,nngy
352,2022-05-10 07:00:00,6.0,jatk
353,2022-04-26 06:00:00,5.0,rgep
354,2022-04-12 13:00:00,9.0,qzin
355,2022-03-23 16:00:00,5.0,znct
356,2022-04-13 06:00:00,5.0,nnxm
357,2022-04-07 18:00:00,7.0,gtjc
358,2022-06-13 06:00:00,5.0,bjjk
359,2022-05-04 17:00:00,4.0,mpbl
360,2022-04-24 03:00:00,5.0,iaql
361,2022-03-07 05:00:00,4.0,vbch
362,2022-05-12 09:00:00,8.0,oom
363,2022-09-07 17:00:00,9.0,msiw
364,2022-03-18 10:00:00,4.0,wjhw
365,2022-03-23 23:00:00,6.0,tfxd
366,2022-07-16 05:00:00,10.0,juqa
367,2022-08-16 06:00:00,3.0,quxj
368,2022-06-12 01:00:00,7.0,vijz
369,2022-03-21 21:00:00,8.0,gnhm
370,2022-02-20 18:00:00,10.0,etjr
371,2022-04-16 16:00:00,6.0,anwu
372,2022-05-11 05:00:00,9.0,xebq
373,2022-08-22 00:00:00,8.0,zqyg
374,2022-03-22 00:00:00,7.0,xisz
375,2022-02-28 16:00:00,7.0,wueq
376,2022-02-24 06:00:00,4.0,lvvo
377,2022-06-28 04:00:00,6.0,kzaa
378,2022-08-13 12:00:00,4.0,ikqz
379,2022-05-02 20:00:00,8.0,qbfo
380,2022-06-28 17:00:00,7.0,dzol
381,2022-04-27 10:00:00,6.0,srps
382,2022-03-04 10:00:00,9.0,frle
383,2022-04-27 15:00:00,4.0,vjxd
384,2022-09-17 03:00:00,6.0,vbug
385,2022-03-18 10:00:00,5.0,qhvh
386,2022-07-08 15:00:00,6.0,sske
387,2022-06-04 16:00:00,10.0,zlfl
388,2022-03-08 23:00:00,8.0,xzsh
389,2022-06-14 14:00:00,10.0,bxjx
390,2022-05-02 17:00:00,10.0,kvk
391,2022-05-07 07:00:00,4.0,axrh
392,2022-06-11 09:00:00,7.0,auxk
393,2022-02-23 02:00:00,10.0,zeja
394,2022-03-26 18:00:00,7.0,sivn
395,2022-02-15 02:00:00,6.0,anwu
396,2022-08-26 14:00:00,10.0,hcxv
397,2022-05-28 13:00:00,8.0,ocmo
398,2022-02-26 13:00:00,5.0,igaj
399,2022-05-14 20:00:00,7.0,aifg
400,2022-03-29 09:00:00,6.0,mklz
401,2022-03-03 21:00:00,7.0,tugt
402,2022-05-19 08:00:00,8.0,vhzn
403,2022-05-06 19:00:00,7.0,gvlv
404,2022-04-11 19:00:00,3.0,yncb
405,2022-05-03 17:00:00,3.0,pdvn
406,2022-02-23 20:00:00,3.0,ocmo
407,2022-03-22 13:00:00,3.0,oydl
408,2022-06-02 13:00:00,2.0,csfr
409,2022-03-15 00:00:00,4.0,sbjk
410,2022-04-23 02:00:00,5.0,cwtu
411,2022-04-20 11:00:00,10.0,zxxb
412,2022-04-06 23:00:00,10.0,lzzq
413,2022-03-30 00:00:00,2.0,tjlw
414,2022-03-23 12:00:00,10.0,bsrs
415,2022-07-17 21:00:00,3.0,hzmb
416,2022-03-09 22:00:00,9.0,zlxt
417,2022-03-03 08:00:00,9.0,xjzs
418,2022-05-29 01:00:00,8.0,loep
419,2022-05-03 12:00:00,6.0,xwyx
420,2022-04-15 08:00:00,9.0,lyqv
421,2022-05-09 15:00:00,3.0,tmac
422,2022-04-23 08:00:00,8.0,vemp
423,2022-03-23 20:00:00,2.0,jkuh
424,2022-07-29 21:00:00,3.0,enwe
425,2022-04-13 21:00:00,4.0,saio
426,2022-09-30 19:00:00,9.0,wlhv
427,2022-02-26 05:00:00,4.0,mqhw
428,2022-05-29 00:00:00,6.0,zbzs
429,2022-04-27 04:00:00,6.0,yhfh
430,2022-08-07 00:00:00,3.0,ljua
431,2022-05-06 18:00:00,8.0,uhvo
432,2022-05-14 01:00:00,4.0,ewcd
433,2022-02-23 03:00:00,6.0,xgzv
434,2022-06-25 10:00:00,5.0,avyl
435,2022-05-03 12:00:00,4.0,ihtz
436,2022-04-23 19:00:00,3.0,vrin
437,2022-04-21 21:00:00,8.0,knre
438,2022-03-23 12:00:00,6.0,ziey
439,2022-03-18 13:00:00,6.0,ihub
440,2022-03-08 20:00:00,4.0,pcrk
441,2022-04-02 01:00:00,5.0,tslo
442,2022-05-19 06:00:00,9.0,nnol
443,2022-08-08 02:00:00,6.0,sbjk
444,2022-09-24 14:00:00,5.0,zbzs
445,2022-05-12 01:00:00,9.0,ftov
446,2022-06-11 12:00:00,3.0,jcgx
447,2022-04-05 19:00:00,4.0,cybl
448,2022-02-10 09:00:00,2.0,bjjk
449,2022-06-07 06:00:00,2.0,pdw
450,2022-04-07 10:00:00,2.0,ygnc
451,2022-02-23 20:00:00,9.0,nbrw
452,2022-04-12 16:00:00,8.0,okqw
453,2022-03-27 14:00:00,5.0,qwas
454,2022-05-04 04:00:00,2.0,ziri
455,2022-05-03 22:00:00,4.0,frab
456,2022-08-10 08:00:00,4.0,rbup
457,2022-05-11 22:00:00,5.0,igiv
458,2022-07-12 08:00:00,9.0,pomy
459,2022-03-12 14:00:00,3.0,fscb
460,2022-03-21 04:00:00,5.0,ghmw
461,2022-05-01 20:00:00,3.0,zqot
462,2022-04-12 10:00:00,6.0,ehxz
463,2022-05-04 20:00:00,7.0,cugs
464,2022-07-19 03:00:00,8.0,cwrm
465,2022-03-05 15:00:00,3.0,btnd
466,2022-08-31 15:00:00,4.0,itre
467,2022-05-10 00:00:00,6.0,ngig
468,2022-06-13 07:00:00,5.0,farh
469,2022-05-07 10:00:00,2.0,styl
470,2022-08-27 17:00:00,6.0,mwka
471,2022-09-01 12:00:00,6.0,apxy
472,2022-04-01 01:00:00,5.0,egvo
473,2022-04-14 01:00:00,3.0,lena
474,2022-06-25 01:00:00,9.0,rhwo
475,2022-05-29 00:00:00,9.0,ysdy
476,2022-06-09 19:00:00,4.0,ygho
477,2022-05-12 22:00:00,3.0,nyuk
478,2022-06-21 01:00:00,6.0,zbcu
479,2022-04-18 07:00:00,6.0,ihub
480,2022-07-05 20:00:00,7.0,btdn
481,2022-04-11 21:00:00,9.0,rwwz
482,2022-06-20 21:00:00,4.0,logn
483,2022-03-24 16:00:00,3.0,ltco
484,2022-02-23 17:00:00,3.0,cyzh
485,2022-02-25 02:00:00,7.0,snbk
486,2022-04-30 16:00:00,9.0,mgdr
487,2022-05-02 21:00:00,7.0,tanz
488,2022-06-25 18:00:00,7.0,nngy
489,2022-03-18 14:00:00,8.0,dziz
490,2022-04-03 23:00:00,9.0,tgyt
491,2022-04-01 14:00:00,8.0,yrsp
492,2022-09-25 19:00:00,3.0,oydl
493,2022-04-07 09:00:00,5.0,eimn
494,2022-03-17 19:00:00,7.0,holl
495,2022-04-10 03:00:00,4.0,okqw
496,2022-04-05 10:00:00,5.0,rihv
497,2022-03-27 18:00:00,6.0,ofzz
498,2022-02-14 04:00:00,2.0,bvjf
499,2022-04-05 12:00:00,9.0,judc
500,2022-05-16 20:00:00,5.0,lnbg
501,2022-10-15 19:00:00,7.0,wrv
502,2022-11-20 10:00:00,2.0,gyjb
503,2022-07-11 04:00:00,8.0,rgep
504,2023-02-05 14:00:00,6.0,cvmd
505,2023-03-11 20:00:00,4.0,aifg
506,2022-08-06 06:00:00,4.0,fnhy
507,2022-11-10 23:00:00,4.0,aekl
508,2022-12-01 05:00:00,10.0,dsfy
509,2023-05-06 21:00:00,9.0,muvq
510,2022-06-17 09:00:00,6.0,ijha
511,2023-03-19 11:00:00,8.0,btnd
512,2022-11-03 00:00:00,5.0,hzmb
513,2022-09-19 19:00:00,3.0,bzcp
514,2023-05-05 07:00:00,9.0,gdzy
515,2022-12-06 17:00:00,3.0,jenb
516,2023-02-22 15:00:00,7.0,yuqf
517,2023-01-11 02:00:00,3.0,ygnc
518,2023-04-28 11:00:00,3.0,asuu
519,2023-05-02 20:00:00,4.0,xwwj
520,2022-07-05 13:00:00,9.0,xgzv
521,2022-08-29 19:00:00,3.0,jlow
522,2022-09-21 18:00:00,4.0,msiw
523,2022-10-16 00:00:00,3.0,ntnj
524,2022-07-01 05:00:00,6.0,bvjf
525,2023-04-21 13:00:00,7.0,jzyz
526,2023-02-01 21:00:00,3.0,xaax
527,2022-06-02 07:00:00,9.0,tpym
528,2023-01-10 16:00:00,8.0,gyjb
529,2022-06-20 23:00:00,5.0,zanj
530,2022-07-29 00:00:00,2.0,segk
531,2023-01-20 19:00:00,3.0,ftov
532,2022-09-27 21:00:00,10.0,bmay
533,2022-08-11 05:00:00,5.0,ljua
534,2022-11-14 12:00:00,8.0,tcq
535,2022-10-13 08:00:00,5.0,tbhv
536,2022-11-18 06:00:00,7.0,ntsq
537,2022-10-31 08:00:00,3.0,kgle
538,2022-09-23 08:00:00,6.0,puhl
539,2022-06-06 21:00:00,8.0,acay
540,2022-08-07 03:00:00,5.0,snbk
541,2023-01-21 11:00:00,7.0,gywc
542,2023-01-11 16:00:00,7.0,sbpw
543,2022-11-13 13:00:00,7.0,dxma
544,2023-03-08 01:00:00,9.0,vmep
545,2022-10-31 18:00:00,8.0,yqub
546,2022-11-22 23:00:00,4.0,ihiu
547,2023-02-27 21:00:00,9.0,qjes
548,2023-03-17 07:00:00,7.0,ziey
549,2022-06-20 13:00:00,6.0,iyxn
550,2022-06-29 11:00:00,9.0,asom
551,2022-09-02 02:00:00,10.0,anhz
552,2022-11-18 05:00:00,5.0,etqm
553,2022-09-11 18:00:00,6.0,yoz
554,2022-11-11 16:00:00,9.0,wesh
555,2022-12-06 04:00:00,7.0,zzhq
556,2022-11-27 11:00:00,8.0,saio
557,2022-08-04 05:00:00,5.0,znct
558,2022-08-23 22:00:00,6.0,avvo
559,2023-04-17 11:00:00,9.0,hxfe
560,2022-12-22 13:00:00,3.0,tvsc
561,2023-04-23 03:00:00,3.0,xolf
562,2022-10-27 23:00:00,6.0,rxmx
563,2022-07-05 05:00:00,4.0,fras
564,2023-01-10 07:00:00,3.0,qglg
565,2023-01-03 01:00:00,3.0,qhvh
566,2022-11-02 10:00:00,7.0,vxej
567,2022-12-28 04:00:00,9.0,krlu
568,2022-06-03 14:00:00,5.0,cvmd
569,2022-12-29 20:00:00,9.0,qzin
570,2022-12-30 20:00:00,9.0,fhtg
571,2022-07-06 16:00:00,5.0,vorj
572,2022-08-01 19:00:00,5.0,cwrm
573,2022-06-20 23:00:00,8.0,oom
574,2023-03-27 05:00:00,3.0,aasw
575,2022-08-14 17:00:00,5.0,sivn
576,2022-08-26 11:00:00,5.0,vfme
577,2023-04-10 05:00:00,2.0,sngw
578,2022-08-11 14:00:00,6.0,fnlu
579,2022-12-30 05:00:00,6.0,xyfx
580,2022-07-05 16:00:00,5.0,yykx
581,2022-08-29 16:00:00,6.0,xdro
582,2022-12-27 14:00:00,6.0,ybys
583,2022-12-09 05:00:00,5.0,gatb
584,2023-04-18 19:00:00,9.0,azjb
585,2023-05-23 12:00:00,5.0,exq
586,2023-01-16 03:00:00,5.0,wxvu
587,2022-10-09 18:00:00,8.0,bkbo
588,2023-01-11 17:00:00,6.0,tfra
589,2022-11-21 07:00:00,5.0,azjb
590,2022-05-15 10:00:00,8.0,eucy
591,2022-09-24 09:00:00,5.0,whfn
592,2022-11-05 08:00:00,5.0,ocmo
593,2022-09-22 18:00:00,2.0,avvo
594,2022-08-03 03:00:00,2.0,mcmc
595,2022-10-13 19:00:00,4.0,hqth
596,2022-09-28 05:00:00,7.0,tbhv
597,2022-09-09 13:00:00,2.0,wznn
598,2022-09-07 01:00:00,7.0,nahh
