id,gender,platform_engagement
2998,Other,85.14
7530,Female,98.3
5475,Male,31.65
7097,Female,74.95
2149,Other,12.15
1852,Female,71.65
7829,Other,81.26
7588,Other,60.01
1676,Female,30.36
7311,Other,40.84
2549,Male,42.97
3012,Other,73.08
7494,Female,31.67
3240,Female,67.28
6346,Other,32.96
2179,Other,83.81
4377,Other,68.86
3567,Female,73.32
6173,Other,24.15
4431,Female,34.58
7060,Male,41.51
3577,Female,50.81
3574,Female,29.72
6538,Female,85.27
8531,Male,37.4
3592,Other,41.95
7911,Male,98.03
1102,Other,30.86
5778,Male,63.85
1290,Female,20.71
6318,Female,59.52
1581,Male,65.98
7873,Male,71.41
8128,Other,98.71
5168,Female,18.76
7998,Male,19.78
2895,Female,29.48
5546,Male,40.5
1863,Male,36.17
2356,Other,15.71
3988,Male,84.42
4504,Other,31.6
7207,Other,15.44
7180,Male,10.56
3903,Male,61.11
2881,Other,2.15
9295,Other,81.74
2888,Female,34.42
6543,Female,69.97
1997,Female,52.4
2457,Male,52.49
4310,Male,66.61
7611,Male,63.73
5481,Male,71.89
5829,Other,74.81
6648,Other,70.65
9067,Other,54.83
3815,Female,98.63
4047,Other,15.71
1029,Male,59.29
5542,Female,99.57
9437,Female,54.83
3608,Other,51.82
8891,Male,94.36
7245,Male,36.08
3606,Female,40.19
4063,Female,78.98
2335,Other,36.61
1814,Male,95.59
8251,Other,90.68
9095,Other,29.99
4978,Female,55.47
9480,Other,65.73
4512,Male,61.75
3114,Male,50.34
9185,Male,20.77
4210,Female,57.75
8765,Other,39.31
7592,Male,39.94
2239,Other,3.75
8972,Male,94.39
4462,Other,80.22
9389,Female,84.26
6192,Other,51.26
5576,Female,8.34
5911,Female,51.72
5835,Female,12.15
2360,Male,75.5
1297,Male,26.81
1542,Male,72.76
7510,Other,95.2
2756,Male,15.01
3884,Female,48.69
1165,Male,80.13
1413,Female,66.34
2022,Male,46.18
9544,Female,45.75
2807,Other,67.35
1880,Male,59.64
3468,Female,20.01
8700,Female,17.81
6244,Male,11.74
1982,Male,21.45
4150,Other,74.32
8424,Female,11.89
7396,Other,68.68
5984,Other,46.29
3856,Female,35.02
6057,Other,10.56
2055,Male,83.08
2503,Other,7.78
3297,Female,38.35
7755,Female,36.19
2326,Female,17.36
3545,Male,87.37
7437,Female,8.11
6539,Female,32.21
3066,Male,37.36
5332,Other,91.39
8824,Other,48.45
3572,Other,49.84
1296,Female,78.58
7853,Female,82.15
4156,Female,74.12
9307,Male,10.99
4691,Male,47.79
1063,Other,85.16
3837,Male,28.1
3993,Female,6.93
8903,Other,24.5
5566,Male,41.35
4823,Other,2.07
4089,Male,17.66
2385,Male,63.89
9567,Female,47.49
2404,Male,79.55
1742,Other,7.9
5188,Female,34.19
4076,Other,3.55
9434,Female,80.13
9885,Other,4.5
2381,Male,38.47
2604,Female,9.17
1327,Male,22.41
3374,Female,2.9
7569,Female,13.74
4953,Other,84.01
9356,Female,77.85
2698,Other,24.16
7705,Other,55.8
9630,Male,60.66
7601,Male,47.33
8623,Female,76.89
7320,Female,22.32
7351,Other,68.29
9931,Female,90.33
7183,Other,19.15
9861,Female,46.46
4236,Male,13.93
4572,Male,3.73
6380,Other,98.46
7929,Male,0.6
5201,Male,98.12
1787,Other,70.79
3168,Other,92.81
7949,Other,40.49
5285,Other,16.74
7099,Female,9.35
8786,Female,3.64
9160,Female,98.5
8225,Male,63.92
2836,Male,71.98
4105,Female,81.06
5010,Other,97.72
3853,Other,8.54
2877,Male,38.09
2379,Other,28.88
6768,Male,97.73
5716,Other,24.35
4987,Male,70.4
5213,Male,32.03
2458,Male,59.9
9287,Female,79.58
3023,Female,12.67
4019,Male,36.48
6467,Other,77.15
3475,Other,48.93
3185,Male,37.98
9349,Female,97.67
2044,Female,89.67
2990,Female,66.25
4620,Female,80.43
1606,Male,47.07
9802,Female,24.05
7259,Male,98.38
6006,Male,8.26
5006,Male,68.52
3603,Female,17.85
6451,Other,57.7
1511,Male,31.36
2893,Female,55.11
4094,Female,19.74
5679,Female,72.54
2376,Female,68.13
4994,Male,1.47
5442,Male,80.13
3027,Other,23.96
2738,Male,12.94
8409,Other,69.92
4149,Male,90.15
9274,Female,81.59
6803,Male,77.66
3599,Male,25.06
3171,Female,2.06
4694,Male,98.99
5307,Female,3.95
3401,Female,28.38
2253,Other,31.16
7766,Female,54.1
9605,Other,13.81
7747,Other,0.2
5991,Male,21.25
5523,Female,91.84
3150,Female,53.26
4585,Other,58.9
6406,Other,3.92
9474,Male,33.62
4612,Female,89.22
1669,Female,1.48
2524,Other,75.74
4968,Male,1.1
8978,Female,67.97
7915,Other,47.35
5811,Female,92.11
5305,Other,34.5
2421,Female,96.67
1310,Other,75.71
3938,Other,10.85
9991,Other,15.78
2238,Male,25.65
8933,Female,30.35
6016,Other,41.94
5741,Other,43.98
3051,Female,95.86
6580,Female,61.73
7781,Other,94.51
8546,Male,21.56
9086,Female,3.75
5125,Other,64.82
5684,Male,11.49
1896,Female,54.62
7227,Male,69.19
7298,Female,56.44
6861,Male,61
1582,Male,95.47
7074,Female,49.85
2746,Female,5.04
6850,Female,64.99
2302,Other,78.63
6288,Male,20
6560,Female,3.12
1044,Female,70.34
4914,Other,20.94
5223,Female,84.92
1824,Other,77.22
2865,Male,70.27
6717,Male,21.72
3379,Female,38.54
1120,Other,18.27
6527,Other,78.38
4854,Male,25.91
6585,Male,89.33
7839,Female,24.49
7419,Other,11.74
6297,Male,71.12
7521,Male,76.52
9647,Male,48.1
3532,Other,12.32
5355,Female,29.65
9615,Male,11.78
9500,Other,34.09
9998,Other,27.18
2522,Female,38.28
9109,Female,4.1
9412,Male,83.17
2031,Male,61.85
5627,Other,81.3
4911,Other,30.96
3281,Female,52.93
6950,Other,76.93
1341,Female,33.06
8739,Female,98.19
3964,Male,67.3
5801,Other,46.85
6463,Male,83.5
3973,Other,10.92
9655,Male,14.13
9508,Male,83.49
2890,Male,38.43
1204,Female,51.36
1152,Female,82.39
5531,Other,22.36
5471,Female,11.91
6693,Female,20.39
3556,Female,95.58
5642,Male,78.34
7051,Female,81.07
5512,Female,85.75
4041,Male,27.16
4871,Male,28.8
5088,Male,78.22
7555,Female,24.64
2758,Female,44.31
9773,Male,6.5
7792,Male,11.67
7788,Female,5.82
8202,Male,59.31
7326,Female,36.76
1142,Female,43.9
5702,Male,40.72
5263,Other,36.55
5718,Female,65.33
6273,Other,33.46
1509,Other,99.09
7823,Male,69.59
8822,Female,80.57
7302,Female,34.71
9248,Female,87.55
3684,Female,20.03
8036,Male,94.89
1730,Other,60.24
1752,Other,78.4
1190,Male,98.72
4995,Other,74.15
1183,Other,20.97
4298,Female,31.19
5016,Female,55.79
9416,Female,9.9
6581,Other,97.17
1157,Female,3.64
2103,Other,80.24
4139,Male,6.49
7851,Female,71.29
9316,Other,5.6
5065,Male,33.51
8919,Male,42.5
5297,Other,29.87
7847,Female,43.14
3921,Other,86.46
4221,Female,70.96
4515,Male,59.84
9314,Male,7.04
1243,Other,98.35
8653,Other,98.37
9282,Male,40.13
7939,Other,19.22
7925,Female,54.36
9906,Female,13.79
4975,Male,50.05
7104,Other,0.4
6183,Male,3.92
2345,Other,62.49
2170,Other,38.85
3143,Female,83.21
2394,Male,4.9
5563,Female,35.98
6745,Female,55.8
1785,Other,48.27
4574,Male,47.4
7591,Male,25.6
8779,Male,70.1
8451,Female,92.68
1477,Female,99.74
9271,Female,1.37
2867,Female,16.1
1193,Female,27.27
1107,Female,67.62
7951,Female,23.33
7332,Female,81.06
6371,Male,30.64
1908,Other,44.33
4599,Other,70.08
2468,Male,34.19
9561,Female,61.81
1192,Other,46.32
7253,Female,96.4
5142,Male,90.82
1434,Other,49.1
4733,Female,97.73
1515,Female,53.36
1702,Other,7.29
3888,Female,99.1
7467,Other,72.51
7644,Other,1.44
4637,Female,68.05
6930,Other,11.32
6164,Female,86.14
1796,Female,72.92
5422,Female,94.37
7072,Male,91
9970,Male,75.03
4741,Male,34.25
5964,Other,13.42
1186,Other,22.66
1952,Other,11.88
5630,Male,26.48
7070,Female,40.07
6737,Female,83.59
9118,Male,87.48
8513,Female,57.29
5693,Male,67.27
2068,Female,44.04
5108,Female,85.44
5284,Other,12.54
6738,Female,64.8
6744,Other,10.73
8041,Female,16.2
6230,Other,96.04
1945,Female,5.48
6807,Other,58.1
8688,Female,94.56
9884,Female,41.49
6876,Female,28.17
1634,Other,30.92
8276,Other,45.68
7523,Male,85.81
5015,Other,28.24
4496,Other,35.17
8704,Other,88.63
2164,Female,85.34
6245,Other,85.9
6271,Female,0.08
1022,Other,4.8
9099,Female,35.71
5808,Female,51.7
5644,Female,64.28
5195,Male,28.95
1935,Female,28.4
3784,Other,41.24
7475,Other,68.09
9360,Male,66.97
7115,Male,98.74
4177,Male,64.28
4400,Female,36.72
5920,Other,54.59
2386,Female,84.17
4634,Female,94.5
8576,Other,64.61
4983,Other,24.73
2317,Other,50.31
6593,Male,83.13
8511,Male,78.65
9146,Female,41.07
4974,Other,64.67
1038,Female,51.32
5166,Male,70.25
8075,Other,17.73
9889,Female,40.4
5973,Male,4.3
4024,Other,56.46
3409,Male,66.14
5994,Other,24.41
6842,Female,25.42
2763,Male,87.74
2684,Female,1.34
8586,Male,22.83
7444,Male,98.09
4306,Male,64.79
6943,Male,49.04
7893,Male,51.27
7464,Male,95.5
4193,Male,96.43
4852,Female,52.34
5153,Female,97.9
3529,Female,58.81
9226,Female,55.34
9445,Male,70.89
3995,Other,91.13
8652,Other,69.28
4039,Male,89.42
9025,Female,37.95
2184,Other,92.77
1795,Male,35.19
2374,Other,42.1
8104,Male,13.29
5134,Male,75.26
5236,Female,18.57
8484,Other,65.41
3911,Female,21.89
2986,Other,84.77
3739,Other,25.19
4316,Female,39.4
2789,Other,96.85
7346,Other,22.01
8381,Female,68.91
1506,Female,31.19
3151,Other,56.66
5418,Other,62.67
9333,Male,72.56
4803,Female,33.22
5026,Other,12.19
3540,Female,41.68
4153,Other,14.43
2589,Male,11.8
6032,Male,67.8
1491,Male,56.55
5190,Female,98.19
9879,Male,1.2
2270,Female,52.59
9811,Male,38.54
1256,Male,96.68
5694,Female,79.66
7739,Female,39.54
1098,Other,5.01
1584,Female,68.77
9310,Female,87.65
7222,Other,59.16
8964,Other,57.2
9113,Other,35.35
9477,Female,3.2
9619,Other,94.05
1398,Male,0.06
2786,Male,2.29
2236,Female,56.19
4577,Female,57.27
4001,Other,75.83
5451,Other,2.33
2330,Male,73.24
3020,Male,97.27
2859,Male,73.75
6237,Male,78.3
5712,Male,5.36
9667,Other,74.43
4732,Male,23.76
3119,Male,98.78
7773,Female,87.9
5766,Female,34.64
7349,Other,55.7
4467,Other,16.4
5508,Male,28.84
9936,Female,74.59
7992,Male,85.35
6219,Female,89.57
6907,Other,23.43
4844,Other,55.03
2339,Female,84.85
9244,Female,39.61
6347,Other,36.14
6292,Other,44.32
4216,Male,79.15
7262,Male,47.46
2597,Female,33.62
4524,Female,70.38
6967,Male,58.12
7919,Female,30.34
5838,Male,6.6
2240,Female,91.91
5888,Other,45.2
1024,Other,91.31
3526,Male,81.03
5735,Female,68.88
5499,Male,69.13
9087,Other,14.4
2195,Female,26.57
8046,Other,69.57
6658,Other,14.19
9268,Male,22.65
2291,Other,87.83
1316,Male,79.82
5437,Other,55.14
5901,Female,65.83
8952,Female,73.75
4247,Other,90.59
8529,Female,48.37
2480,Other,91.92
6873,Female,32.02
7593,Female,2.14
1845,Female,85.33
3697,Other,61.93
7272,Other,20.3
1875,Male,15.99
8456,Other,70.06
5113,Other,20.81
6013,Female,48.44
4626,Male,20.08
4700,Male,70.45
3555,Female,68.3
3803,Female,54.23
5728,Other,65.26
6037,Male,27.1
6063,Other,93.4
5743,Male,65.8
9653,Other,0.65
4241,Other,86.23
2656,Female,11.66
3159,Other,98.87
5465,Other,24.45
6000,Male,37.99
1602,Female,50.71
6370,Other,33
3126,Female,77.88
6012,Female,47.98
3773,Female,10.68
9763,Female,2.07
6574,Female,83.79
5246,Female,89.34
7641,Male,98.62
2753,Male,4.05
3074,Male,47.91
5683,Male,17.97
1913,Other,46.35
6620,Female,77.29
3590,Female,54.47
3062,Male,30.03
1580,Male,65.08
7359,Male,14.14
7990,Female,71.33
2745,Other,12.92
3427,Other,89.55
4816,Female,20.09
7736,Other,97.95
1229,Other,54.04
6667,Male,77.15
7164,Male,91.42
3394,Male,89.23
4034,Male,67.58
7571,Male,77.93
8630,Other,47.91
6211,Male,40.61
7236,Other,42.77
5819,Female,55.57
6663,Other,94.36
4250,Male,11.1
2619,Male,4.37
7916,Female,47.12
2918,Other,9.04
5308,Male,18.18
2837,Other,20.04
9007,Female,59.96
8509,Male,95.16
7728,Female,47.35
1061,Female,16.95
8573,Other,29.19
2004,Female,98.6
4532,Male,29.7
1758,Male,26.26
7771,Male,4.44
6354,Male,27.96
1833,Female,4.21
2479,Other,67.25
5874,Other,49.27
7934,Female,78.16
8510,Female,10.39
4893,Female,86.06
4665,Other,38.92
3527,Male,62.64
7387,Other,27.09
8333,Other,6.13
9435,Female,54.82
3311,Other,23.45
4558,Other,22.21
6904,Female,49.76
3024,Male,93.93
8193,Female,73.72
2315,Other,86.99
7718,Female,50.18
5904,Male,72.41
7313,Female,5.68
7497,Female,94.22
6775,Other,94.89
5598,Other,31.49
4846,Other,36.07
9043,Male,84.96
6701,Female,17.72
7235,Female,55.2
5637,Male,90.65
8907,Other,48.2
9350,Female,13.59
4717,Female,36.74
7198,Male,31.01
8526,Female,27.08
8806,Male,92.19
9400,Male,63.66
7930,Other,25.17
6753,Other,48.57
6730,Female,95.06
8628,Female,96.02
6135,Female,44.24
2783,Female,90.97
7420,Female,92.55
8156,Other,74.44
8210,Female,48.83
6718,Other,73
6465,Male,71.83
2397,Other,69.04
5550,Male,57.14
1266,Female,9.45
7007,Female,13.41
9928,Male,55.64
3229,Other,40.59
1553,Male,76.44
3719,Female,95.44
2053,Other,88.07
1463,Other,74.79
2870,Male,7.22
7427,Male,6.03
5298,Male,58.62
2288,Female,35.72
8464,Female,37.11
6949,Female,40.01
1274,Male,27.86
7278,Male,5.46
3197,Other,59.45
1538,Female,27.12
5591,Other,78.61
7265,Other,22.06
7825,Male,62.13
5529,Male,17.38
9219,Female,22.32
5403,Male,15.13
3391,Male,28.13
5175,Male,6.65
2156,Female,62.4
5092,Male,68.31
1322,Male,3.02
4520,Female,98.1
2066,Male,66.53
6064,Other,64.21
2677,Other,58.57
4376,Male,11.33
8347,Other,6.04
3643,Other,3.04
8966,Female,54.13
8522,Male,87.19
3373,Male,57.18
9652,Female,32.57
8399,Female,72.23
3376,Female,2.28
4765,Female,2.14
2449,Female,51.74
8684,Female,66.89
9186,Other,1.06
1820,Female,52.08
5539,Other,17.43
7402,Other,36.65
1629,Female,46.32
8113,Other,45.99
1721,Other,43.1
2743,Female,56.38
1312,Female,21.82
9857,Other,90.05
3730,Female,74.73
6758,Male,31.72
4528,Other,20.82
9125,Other,12.4
2476,Female,94.99
4856,Female,11.08
6474,Male,64.18
4686,Male,93.3
1780,Male,10.42
6157,Other,2.69
8307,Male,30.06
5433,Other,66.84
3732,Female,8.36
6541,Male,99.48
4853,Other,57.74
9563,Other,89.49
4570,Male,80.26
8273,Female,50.27
2051,Female,87.14
3003,Male,51.28
3120,Female,38.34
3330,Other,24.5
7296,Other,11.94
4330,Male,91.74
3512,Female,48.7
1065,Male,86.36
1051,Other,18.09
5921,Other,68.98
5186,Other,56.48
9675,Female,92
6349,Female,45.86
7841,Female,28.66
4144,Male,50.7
6703,Male,21.41
5609,Male,93.69
4583,Other,23.23
5620,Male,17.12
5992,Female,97.61
9246,Female,69.87
6316,Other,68.35
5515,Other,72.14
6908,Male,59.19
9498,Male,97.33
6421,Other,62.34
8795,Female,83.6
2414,Other,91.44
1034,Male,47.66
3482,Female,44.15
6547,Male,59.76
2042,Female,71.78
5040,Male,49.07
3721,Male,55.61
1756,Male,46.76
8358,Other,4.9
9075,Female,43.17
6378,Other,40.97
9721,Other,27.74
7453,Other,21.81
7328,Other,57.69
6605,Other,32.6
2987,Other,12.68
2419,Female,23.38
3436,Other,75.37
8817,Female,30.16
3064,Male,43.24
7008,Other,49.96
1394,Other,46.99
5755,Other,51.91
1739,Male,27.92
2628,Other,54.89
3345,Male,4.58
6442,Other,34.9
8233,Other,34.96
2415,Other,77.27
7000,Other,97.28
8191,Male,21.15
7465,Female,57.75
4412,Female,42.37
2306,Other,78.33
6065,Female,22.92
7252,Female,51.49
8936,Female,57.63
2305,Male,2.64
7678,Male,95.44
6810,Female,68.67
5503,Other,13.87
2067,Female,94.8
8149,Male,4.66
