booking_id,destination_id,booking_date,travel_start_date,travel_end_date,price_per_person,total_price,duration_hrs,no_of_participants
427,13,2/9/2022,2/24/2022,2/24/2022,191.28,956.4,4,5
429,8,4/5/2022,4/25/2022,4/25/2022,351.678,1758.39,11,5
433,25,2/3/2022,2/22/2022,2/22/2022,540.09,540.09,12,1
435,16,4/11/2022,5/1/2022,5/1/2022,1277.78,1277.78,9,1
436,20,4/4/2022,4/21/2022,4/21/2022,234.9271429,1644.49,7,7
437,5,4/4/2022,4/19/2022,4/19/2022,302.2316667,1813.39,9,6
438,19,3/4/2022,3/21/2022,3/21/2022,171.51125,1372.09,6,8
439,25,3/2/2022,3/18/2022,3/18/2022,803.38,803.38,4,1
440,28,2/17/2022,3/8/2022,3/8/2022,580.74,1742.22,6,3
441,25,3/14/2022,3/31/2022,3/31/2022,1876.01,1876.01,9,1
445,24,4/27/2022,5/12/2022,5/12/2022,923.98,923.98,5,1
457,30,4/25/2022,5/11/2022,5/11/2022,224.20125,1793.61,2,8
459,10,2/23/2022,3/11/2022,3/11/2022,365.1733333,1095.52,9,3
465,7,2/14/2022,3/5/2022,3/5/2022,448.7,448.7,1,1
469,1,4/18/2022,5/6/2022,5/6/2022,591.26,591.26,9,1
472,24,3/17/2022,4/1/2022,4/1/2022,123.105,492.42,3,4
473,11,3/28/2022,4/12/2022,4/12/2022,920.185,1840.37,8,2
479,24,3/29/2022,4/18/2022,4/18/2022,1618.48,1618.48,3,1
483,20,3/7/2022,3/23/2022,3/23/2022,1369.41,1369.41,6,1
484,27,2/5/2022,2/21/2022,2/21/2022,786.92,1573.84,4,2
486,28,4/12/2022,4/30/2022,4/30/2022,1971.32,1971.32,3,1
487,10,4/13/2022,5/1/2022,5/1/2022,189.7183333,1138.31,5,6
489,9,2/24/2022,3/16/2022,3/16/2022,801.34,801.34,10,1
506,9,7/20/2022,8/4/2022,8/4/2022,272.915,1091.66,4,4
507,5,10/22/2022,11/9/2022,11/9/2022,1154,1154,7,1
510,13,6/1/2022,6/16/2022,6/16/2022,112.9375,451.75,8,4
515,23,11/15/2022,12/5/2022,12/5/2022,187.92,187.92,4,1
527,24,5/14/2022,5/31/2022,5/31/2022,1318.28,1318.28,9,1
528,10,12/21/2022,1/9/2023,1/9/2023,21.34285714,149.4,3,7
531,15,12/30/2022,1/19/2023,1/19/2023,144.3,144.3,4,1
533,1,7/25/2022,8/10/2022,8/10/2022,118.4057143,828.84,11,7
538,9,9/3/2022,9/21/2022,9/21/2022,229.3742857,1605.62,1,7
539,12,5/18/2022,6/4/2022,6/4/2022,1008.89,1008.89,3,1
551,6,8/16/2022,9/1/2022,9/1/2022,760.56,760.56,7,1
552,7,10/28/2022,11/16/2022,11/16/2022,1754.14,1754.14,3,1
554,10,10/24/2022,11/10/2022,11/10/2022,1565.57,1565.57,11,1
555,13,11/15/2022,12/5/2022,12/5/2022,1089.26,1089.26,1,1
562,20,10/7/2022,10/25/2022,10/25/2022,107.934,539.67,2,5
563,12,6/17/2022,7/3/2022,7/3/2022,1185.07,1185.07,6,1
566,3,10/17/2022,11/1/2022,11/1/2022,1950.34,1950.34,1,1
567,30,12/7/2022,12/27/2022,12/27/2022,1310.39,1310.39,9,1
568,15,5/18/2022,6/2/2022,6/2/2022,72.59428571,508.16,5,7
572,9,7/13/2022,7/31/2022,7/31/2022,284.86,284.86,12,1
573,2,5/30/2022,6/18/2022,6/18/2022,326.52,326.52,3,1
576,6,8/6/2022,8/24/2022,8/24/2022,310.6166667,931.85,2,3
579,24,12/10/2022,12/30/2022,12/30/2022,1143.99,1143.99,7,1
580,30,6/14/2022,7/4/2022,7/4/2022,456.19,456.19,10,1
582,26,12/9/2022,12/27/2022,12/27/2022,1478.24,1478.24,7,1
583,8,11/19/2022,12/9/2022,12/9/2022,317.6483333,1905.89,5,6
587,25,9/22/2022,10/8/2022,10/8/2022,175.6616667,1053.97,3,6
588,27,12/26/2022,1/11/2023,1/11/2023,1494.36,1494.36,12,1
591,4,9/4/2022,9/23/2022,9/23/2022,325.525,1302.1,8,4
592,22,10/19/2022,11/4/2022,11/4/2022,105.81,634.86,1,6
599,21,12/6/2022,12/26/2022,12/26/2022,1304.38,1304.38,8,1
601,20,6/3/2022,6/18/2022,6/18/2022,854.11,854.11,8,1
602,2,11/30/2022,12/16/2022,12/16/2022,1859.08,1859.08,8,1
608,25,5/23/2022,6/10/2022,6/10/2022,269.318,1346.59,11,5
619,6,6/11/2022,7/1/2022,7/1/2022,163.21625,1305.73,12,8
620,14,12/21/2022,1/6/2023,1/6/2023,49.932,249.66,7,5
622,10,8/11/2022,8/30/2022,8/30/2022,1617.44,1617.44,4,1
630,25,11/15/2022,12/2/2022,12/2/2022,205.062,1025.31,5,5
632,3,7/1/2022,7/18/2022,7/18/2022,1717.14,1717.14,10,1
635,1,5/27/2022,6/14/2022,6/14/2022,405.02,405.02,10,1
637,21,8/21/2022,9/10/2022,9/10/2022,68.48166667,410.89,5,6
638,17,11/11/2022,12/1/2022,12/1/2022,1873.51,1873.51,4,1
639,1,8/7/2022,8/22/2022,8/22/2022,541.03,541.03,2,1
642,14,11/17/2022,12/4/2022,12/4/2022,1040.23,1040.23,11,1
645,19,6/14/2022,7/1/2022,7/1/2022,926.5,926.5,4,1
648,1,10/3/2022,10/23/2022,10/23/2022,373.146,1865.73,3,5
650,13,9/12/2022,10/2/2022,10/2/2022,309.0866667,1854.52,10,6
651,17,7/2/2022,7/21/2022,7/21/2022,1303.13,1303.13,2,1
653,22,10/20/2022,11/7/2022,11/7/2022,1834.14,1834.14,5,1
655,8,11/9/2022,11/26/2022,11/26/2022,186.22375,1489.79,9,8
660,3,10/11/2022,10/31/2022,10/31/2022,250.28,500.56,7,2
664,27,9/4/2022,9/19/2022,9/19/2022,38.73142857,271.12,11,7
666,3,7/30/2022,8/19/2022,8/19/2022,47.408,237.04,12,5
668,28,7/19/2022,8/5/2022,8/5/2022,459.4,459.4,1,1
670,1,7/2/2022,7/17/2022,7/17/2022,1753.13,1753.13,11,1
677,25,11/2/2022,11/17/2022,11/17/2022,435.98,435.98,5,1
684,1,6/27/2022,7/13/2022,7/13/2022,30.582,152.91,1,5
692,8,7/13/2022,8/2/2022,8/2/2022,608.99,608.99,4,1
696,18,6/27/2022,7/16/2022,7/16/2022,1163.1,1163.1,2,1
699,6,5/30/2022,6/17/2022,6/17/2022,1044.65,1044.65,4,1
703,17,9/23/2022,10/8/2022,10/8/2022,1927.06,1927.06,9,1
706,20,11/23/2022,12/8/2022,12/8/2022,619.71,1859.13,7,3
711,10,8/26/2022,9/13/2022,9/13/2022,305.89,1835.34,7,6
713,18,9/25/2022,10/15/2022,10/15/2022,1575.5,1575.5,8,1
714,12,7/21/2022,8/7/2022,8/7/2022,1926.4,1926.4,6,1
716,11,12/20/2022,1/9/2023,1/9/2023,208.48,208.48,12,1
719,9,12/14/2022,1/3/2023,1/3/2023,1611.26,1611.26,3,1
728,11,10/3/2022,10/18/2022,10/18/2022,1147.93,1147.93,8,1
735,18,8/24/2022,9/9/2022,9/9/2022,501.7,501.7,5,1
741,4,10/15/2022,10/30/2022,10/30/2022,353.3025,1413.21,3,4
748,5,12/1/2022,12/21/2022,12/21/2022,129.0366667,387.11,2,3
749,15,12/17/2022,1/2/2023,1/2/2023,715.91,1431.82,5,2
756,20,11/13/2022,11/29/2022,11/29/2022,497.68,497.68,6,1
768,6,10/3/2022,10/22/2022,10/22/2022,431,1293,3,3
769,19,12/29/2022,1/16/2023,1/16/2023,183.616,918.08,10,5
772,28,6/18/2022,7/7/2022,7/7/2022,273.7371429,1916.16,5,7
773,23,7/1/2022,7/18/2022,7/18/2022,96.778,483.89,12,5
780,12,12/12/2022,12/30/2022,12/30/2022,183.1866667,549.56,6,3
782,13,8/27/2022,9/16/2022,9/16/2022,256.8285714,1797.8,9,7
788,17,8/3/2022,8/22/2022,8/22/2022,346.01,1038.03,2,3
794,8,10/1/2022,10/20/2022,10/20/2022,581.6066667,1744.82,9,3
797,20,9/20/2022,10/5/2022,10/5/2022,979.41,979.41,12,1
800,7,8/2/2022,8/18/2022,8/18/2022,105.872,529.36,5,5
809,30,10/18/2022,11/6/2022,11/6/2022,309.61,309.61,2,1
810,11,10/23/2022,11/11/2022,11/11/2022,356.75,356.75,6,1
815,1,9/7/2022,9/25/2022,9/25/2022,1796.19,1796.19,11,1
817,9,12/23/2022,1/9/2023,1/9/2023,575.14,575.14,1,1
819,4,12/17/2022,1/2/2023,1/2/2023,871.98,871.98,10,1
823,16,12/22/2022,1/10/2023,1/10/2023,242.1916667,1453.15,11,6
828,3,8/25/2022,9/9/2022,9/9/2022,461.3075,1845.23,9,4
829,25,10/2/2022,10/18/2022,10/18/2022,445.61,445.61,3,1
830,23,12/19/2022,1/8/2023,1/8/2023,1385.82,1385.82,7,1
834,3,7/30/2022,8/16/2022,8/16/2022,289.7533333,869.26,6,3
837,7,6/30/2022,7/16/2022,7/16/2022,211.32,211.32,10,1
838,27,12/25/2022,1/9/2023,1/9/2023,257.78,257.78,7,1
848,30,5/2/2022,5/22/2022,5/22/2022,865,865,2,1
851,29,11/24/2022,12/13/2022,12/13/2022,825.77,825.77,7,1
862,6,8/19/2022,9/4/2022,9/4/2022,111.6,334.8,12,3
863,16,12/25/2022,1/9/2023,1/9/2023,891.2,891.2,7,1
866,3,10/11/2022,10/26/2022,10/26/2022,305.21,305.21,5,1
868,18,5/18/2022,6/5/2022,6/5/2022,1449.07,1449.07,4,1
871,8,12/22/2022,1/10/2023,1/10/2023,85.0975,680.78,7,8
876,23,6/23/2022,7/9/2022,7/9/2022,424.16,848.32,2,2
879,11,7/25/2022,8/9/2022,8/9/2022,1432.43,1432.43,6,1
881,7,12/18/2022,1/6/2023,1/6/2023,291.8,291.8,3,1
884,8,10/16/2022,11/5/2022,11/5/2022,902.47,1804.94,12,2
886,28,12/9/2022,12/29/2022,12/29/2022,1159.3,1159.3,8,1
887,6,12/5/2022,12/23/2022,12/23/2022,540.58,540.58,7,1
893,21,12/28/2022,1/14/2023,1/14/2023,26.55,212.4,7,8
905,1,5/16/2022,6/5/2022,6/5/2022,1472.16,1472.16,1,1
910,14,6/3/2022,6/21/2022,6/21/2022,1071.85,1071.85,3,1
913,20,12/23/2022,1/8/2023,1/8/2023,1410.52,1410.52,7,1
914,30,5/19/2022,6/8/2022,6/8/2022,109.498,547.49,6,5
915,28,6/12/2022,7/2/2022,7/2/2022,396.075,792.15,9,2
922,22,8/29/2022,9/15/2022,9/15/2022,665.18,665.18,6,1
925,3,10/31/2022,11/20/2022,11/20/2022,445.8033333,1337.41,7,3
926,21,12/18/2022,1/2/2023,1/2/2023,1705.01,1705.01,4,1
927,3,8/3/2022,8/21/2022,8/21/2022,1193.97,1193.97,5,1
931,19,11/17/2022,12/6/2022,12/6/2022,584.96,584.96,1,1
935,17,12/28/2022,1/16/2023,1/16/2023,18.46714286,129.27,8,7
946,16,11/7/2022,11/23/2022,11/23/2022,372.27,372.27,1,1
948,7,6/28/2022,7/16/2022,7/16/2022,413.38,413.38,9,1
952,8,12/13/2022,1/1/2023,1/1/2023,290.32,290.32,3,1
953,24,11/23/2022,12/9/2022,12/9/2022,448.2525,1793.01,3,4
963,5,5/22/2022,6/6/2022,6/6/2022,560.16,560.16,12,1
964,24,11/17/2022,12/4/2022,12/4/2022,492.1275,1968.51,7,4
967,8,10/12/2022,10/29/2022,10/29/2022,201.886,1009.43,11,5
969,24,5/24/2022,6/11/2022,6/11/2022,132.2985714,926.09,8,7
974,17,10/3/2022,10/21/2022,10/21/2022,962.8,962.8,5,1
978,22,5/10/2022,5/26/2022,5/26/2022,47.21571429,330.51,3,7
982,8,12/22/2022,1/9/2023,1/9/2023,764.33,764.33,3,1
984,24,11/6/2022,11/25/2022,11/25/2022,32.44,129.76,9,4
987,11,11/3/2022,11/22/2022,11/22/2022,832.945,1665.89,2,2
988,7,10/10/2022,10/27/2022,10/27/2022,60.07,180.21,3,3
991,17,12/1/2022,12/21/2022,12/21/2022,264.478,1322.39,5,5
992,7,10/22/2022,11/7/2022,11/7/2022,65.59142857,459.14,7,7
994,1,6/17/2022,7/4/2022,7/4/2022,13.7175,109.74,6,8
999,21,9/10/2022,9/25/2022,9/25/2022,767.14,767.14,3,1
1001,12,12/27/2022,1/11/2023,1/11/2023,156.4175,1251.34,10,8
1008,6,5/17/2022,6/2/2022,6/2/2022,157.2966667,943.78,2,6
1021,24,10/1/2022,10/16/2022,10/16/2022,492.17,492.17,4,1
1040,26,5/29/2022,6/16/2022,6/16/2022,275.6133333,1653.68,2,6
1043,27,9/18/2022,10/6/2022,10/6/2022,1609.31,1609.31,10,1
1047,24,9/5/2022,9/20/2022,9/20/2022,313.7883333,1882.73,11,6
1052,2,6/26/2022,7/15/2022,7/15/2022,860.73,860.73,1,1
1054,9,6/29/2022,7/15/2022,7/15/2022,1785.01,1785.01,4,1
1057,5,6/7/2022,6/24/2022,6/24/2022,38.445,230.67,12,6
1058,21,11/26/2022,12/13/2022,12/13/2022,138.55,415.65,10,3
1063,24,9/26/2022,10/13/2022,10/13/2022,1748.88,1748.88,12,1
1066,20,7/11/2022,7/28/2022,7/28/2022,173.2825,1386.26,5,8
1067,24,7/12/2022,7/28/2022,7/28/2022,108.076,540.38,5,5
1071,20,8/17/2022,9/3/2022,9/3/2022,82.725,165.45,2,2
1077,18,10/8/2022,10/26/2022,10/26/2022,331.466,1657.33,5,5
1081,28,11/27/2022,12/16/2022,12/16/2022,1495.19,1495.19,1,1
1086,28,8/21/2022,9/5/2022,9/5/2022,68.59166667,411.55,3,6
1093,20,7/27/2022,8/11/2022,8/11/2022,109.1728571,764.21,4,7
1097,13,11/7/2022,11/25/2022,11/25/2022,928.47,928.47,8,1
1110,9,10/24/2022,11/8/2022,11/8/2022,250.0825,1000.33,1,4
1111,27,6/28/2022,7/15/2022,7/15/2022,133.456,667.28,8,5
1118,8,6/11/2022,6/26/2022,6/26/2022,164.8,164.8,12,1
1126,1,6/29/2022,7/17/2022,7/17/2022,546.29,546.29,9,1
1133,21,10/30/2022,11/14/2022,11/14/2022,802.58,1605.16,12,2
1140,24,10/5/2022,10/25/2022,10/25/2022,680.72,1361.44,4,2
1142,29,7/28/2022,8/12/2022,8/12/2022,747.97,747.97,12,1
1148,8,10/28/2022,11/14/2022,11/14/2022,255.7566667,767.27,10,3
1164,26,12/24/2022,1/8/2023,1/8/2023,512.37,512.37,11,1
1168,6,10/10/2022,10/29/2022,10/29/2022,305.54,305.54,5,1
1178,27,12/26/2022,1/15/2023,1/15/2023,1983.72,1983.72,10,1
1191,28,10/5/2022,10/24/2022,10/24/2022,1625.52,1625.52,6,1
1194,13,5/29/2022,6/18/2022,6/18/2022,267.105,1068.42,8,4
1199,12,5/3/2022,5/20/2022,5/20/2022,621.12,621.12,3,1
1203,20,8/28/2022,9/17/2022,9/17/2022,74.415,446.49,10,6
1204,25,12/30/2022,1/19/2023,1/19/2023,368.874,1844.37,8,5
1205,18,12/4/2022,12/24/2022,12/24/2022,253.0914286,1771.64,2,7
1206,6,7/7/2022,7/27/2022,7/27/2022,382.03,382.03,9,1
1208,30,10/24/2022,11/12/2022,11/12/2022,489.855,1959.42,8,4
1212,2,7/21/2022,8/6/2022,8/6/2022,1875.4,1875.4,10,1
1217,22,8/1/2022,8/17/2022,8/17/2022,189.6542857,1327.58,9,7
1218,28,10/5/2022,10/21/2022,10/21/2022,366.94,1467.76,4,4
1219,28,10/9/2022,10/27/2022,10/27/2022,1155.81,1155.81,11,1
1221,1,9/1/2022,9/19/2022,9/19/2022,1334.81,1334.81,4,1
1235,30,8/20/2022,9/9/2022,9/9/2022,1889.25,1889.25,4,1
1236,12,8/9/2022,8/26/2022,8/26/2022,344.9225,1379.69,12,4
1238,9,9/13/2022,9/28/2022,9/28/2022,801.09,1602.18,1,2
1240,16,9/20/2022,10/8/2022,10/8/2022,1566.72,1566.72,10,1
1241,18,11/22/2022,12/11/2022,12/11/2022,53.6575,214.63,11,4
1242,5,6/11/2022,7/1/2022,7/1/2022,1670.35,1670.35,8,1
1244,29,8/24/2022,9/12/2022,9/12/2022,76.37,152.74,3,2
1247,8,8/14/2022,9/3/2022,9/3/2022,56.53571429,395.75,10,7
1249,1,12/6/2022,12/22/2022,12/22/2022,183.6366667,1101.82,5,6
1253,13,6/25/2022,7/11/2022,7/11/2022,304.9116667,1829.47,7,6
1261,20,12/12/2022,1/1/2023,1/1/2023,145.1628571,1016.14,1,7
1268,27,12/15/2022,1/1/2023,1/1/2023,1267.71,1267.71,3,1
1270,12,8/16/2022,9/3/2022,9/3/2022,915.31,915.31,10,1
1275,1,7/2/2022,7/18/2022,7/18/2022,320.43,320.43,2,1
1280,12,8/18/2022,9/4/2022,9/4/2022,1161.54,1161.54,8,1
1282,5,8/31/2022,9/19/2022,9/19/2022,171.03125,1368.25,6,8
1286,4,10/1/2022,10/20/2022,10/20/2022,916.95,916.95,9,1
1291,2,11/4/2022,11/24/2022,11/24/2022,1451.74,1451.74,3,1
1293,16,12/27/2022,1/12/2023,1/12/2023,1331.01,1331.01,1,1
1295,2,7/31/2022,8/19/2022,8/19/2022,310.32,1551.6,12,5
1305,23,5/15/2022,5/31/2022,5/31/2022,81.684,408.42,8,5
1308,20,7/5/2022,7/22/2022,7/22/2022,1876.14,1876.14,9,1
1313,11,5/14/2022,6/2/2022,6/2/2022,132.38,132.38,5,1
1314,25,10/3/2022,10/22/2022,10/22/2022,1055.85,1055.85,12,1
1319,14,9/21/2022,10/10/2022,10/10/2022,1874.6,1874.6,10,1
1323,2,9/7/2022,9/25/2022,9/25/2022,1977.52,1977.52,11,1
1327,15,11/3/2022,11/18/2022,11/18/2022,1981.08,1981.08,2,1
1337,4,9/11/2022,10/1/2022,10/1/2022,322.6466667,1935.88,8,6
1346,12,10/31/2022,11/17/2022,11/17/2022,214.42,1715.36,5,8
1350,6,7/31/2022,8/20/2022,8/20/2022,1064.74,1064.74,3,1
1352,19,6/26/2022,7/12/2022,7/12/2022,381.582,1907.91,4,5
1353,29,11/26/2022,12/11/2022,12/11/2022,421.66,421.66,4,1
1355,5,11/25/2022,12/10/2022,12/10/2022,413.72,413.72,2,1
1356,4,12/16/2022,1/3/2023,1/3/2023,1999.17,1999.17,11,1
1358,25,9/27/2022,10/13/2022,10/13/2022,83.826,419.13,7,5
1374,23,7/25/2022,8/10/2022,8/10/2022,364.5733333,1093.72,6,3
1381,12,12/30/2022,1/14/2023,1/14/2023,1885.69,1885.69,4,1
1386,28,10/3/2022,10/21/2022,10/21/2022,151.04,1057.28,6,7
1387,28,7/3/2022,7/18/2022,7/18/2022,347.244,1736.22,2,5
1388,16,12/18/2022,1/7/2023,1/7/2023,1411.13,1411.13,9,1
1391,24,9/24/2022,10/11/2022,10/11/2022,369.3,1846.5,2,5
1392,29,11/3/2022,11/21/2022,11/21/2022,21.79375,174.35,7,8
1393,3,8/23/2022,9/10/2022,9/10/2022,151.3466667,908.08,6,6
1397,8,9/6/2022,9/25/2022,9/25/2022,1909.61,1909.61,11,1
1399,7,8/25/2022,9/9/2022,9/9/2022,1835.93,1835.93,2,1
1402,27,5/13/2022,6/1/2022,6/1/2022,1908.46,1908.46,2,1
1411,28,12/15/2022,12/31/2022,12/31/2022,517.56,1035.12,8,2
1414,3,8/12/2022,8/28/2022,8/28/2022,1852.2,1852.2,8,1
1417,2,10/1/2022,10/16/2022,10/16/2022,514.39,514.39,5,1
1418,20,12/28/2022,1/12/2023,1/12/2023,388.4325,1553.73,5,4
1430,17,10/29/2022,11/15/2022,11/15/2022,1455.39,1455.39,1,1
1433,6,12/27/2022,1/16/2023,1/16/2023,1702.68,1702.68,12,1
1437,18,5/10/2022,5/26/2022,5/26/2022,1397.34,1397.34,2,1
1439,21,12/5/2022,12/23/2022,12/23/2022,790.87,790.87,6,1
1443,7,11/29/2022,12/15/2022,12/15/2022,1793.78,1793.78,8,1
1448,29,11/5/2022,11/25/2022,11/25/2022,278.0316667,1668.19,4,6
1451,27,11/11/2022,11/27/2022,11/27/2022,70.714,353.57,4,5
1452,29,6/14/2022,7/1/2022,7/1/2022,416.36,416.36,8,1
1455,22,12/23/2022,1/12/2023,1/12/2023,1750.19,1750.19,9,1
