booking_id,destination_id,booking_date,travel_start_date,travel_end_date,price_per_person,total_price,duration_hrs,number_of_participants
261,19,2/2/2022,3/16/2022,3/19/2022,25.846,129.23,72,5
263,30,4/17/2022,5/17/2022,5/18/2022,1363.46,1363.46,25,1
268,22,2/10/2022,3/31/2022,4/1/2022,410.9325,1643.73,25,4
272,15,2/18/2022,3/31/2022,4/2/2022,165.55,165.55,63,1
284,17,2/2/2022,3/8/2022,3/10/2022,110.34,331.02,71,3
285,17,4/27/2022,6/24/2022,6/24/2022,1602.74,1602.74,4,1
286,23,4/29/2022,6/21/2022,6/22/2022,98.79285714,691.55,26,7
292,11,3/8/2022,4/12/2022,4/12/2022,1484.87,1484.87,22,1
298,8,4/9/2022,5/26/2022,5/27/2022,1158.08,1158.08,30,1
299,22,3/10/2022,4/18/2022,4/20/2022,574.83,574.83,50,1
301,21,4/8/2022,5/13/2022,5/13/2022,569.375,1138.75,18,2
303,5,4/30/2022,6/11/2022,6/11/2022,1358.96,1358.96,9,1
307,7,4/10/2022,6/6/2022,6/6/2022,168.1,168.1,17,1
312,7,4/16/2022,5/25/2022,5/27/2022,348.4,348.4,55,1
313,24,4/5/2022,6/3/2022,6/4/2022,479.68,959.36,30,2
314,1,4/24/2022,5/24/2022,5/25/2022,535.2966667,1605.89,38,3
317,22,4/1/2022,5/25/2022,5/26/2022,825.32,1650.64,39,2
319,10,3/7/2022,4/10/2022,4/11/2022,76.34714286,534.43,32,7
320,30,2/20/2022,4/10/2022,4/12/2022,439.915,879.83,69,2
323,25,4/7/2022,5/20/2022,5/21/2022,94.27857143,659.95,32,7
329,22,3/21/2022,5/16/2022,5/17/2022,572.64,1717.92,40,3
330,9,4/22/2022,6/9/2022,6/9/2022,1808.93,1808.93,18,1
333,22,3/18/2022,4/26/2022,4/28/2022,508.63,508.63,66,1
340,27,4/6/2022,5/7/2022,5/8/2022,479.89,1439.67,45,3
344,18,3/16/2022,4/15/2022,4/15/2022,62.96666667,188.9,6,3
346,8,2/26/2022,4/17/2022,4/18/2022,166.235,997.41,41,6
351,16,2/22/2022,3/29/2022,3/29/2022,1521.22,1521.22,4,1
352,12,3/19/2022,5/8/2022,5/8/2022,41.97875,335.83,4,8
354,29,2/10/2022,4/9/2022,4/11/2022,625.09,625.09,59,1
355,27,2/5/2022,3/23/2022,3/23/2022,1522.51,1522.51,15,1
358,29,4/18/2022,6/8/2022,6/11/2022,1520.24,1520.24,72,1
359,3,4/4/2022,5/4/2022,5/4/2022,281.41,844.23,6,3
362,26,3/29/2022,5/9/2022,5/11/2022,272.17,1360.85,54,5
371,22,3/14/2022,4/14/2022,4/14/2022,154.915,1239.32,21,8
380,11,4/30/2022,6/26/2022,6/27/2022,218.6583333,1311.95,33,6
387,8,4/24/2022,6/1/2022,6/3/2022,1911.86,1911.86,58,1
389,15,4/20/2022,6/10/2022,6/12/2022,79.41142857,555.88,61,7
392,3,4/15/2022,6/8/2022,6/10/2022,139.46,1115.68,57,8
397,14,4/20/2022,5/24/2022,5/26/2022,67.31,269.24,53,4
399,29,4/6/2022,5/11/2022,5/13/2022,247.2528571,1730.77,68,7
400,25,2/4/2022,3/27/2022,3/28/2022,1638.16,1638.16,42,1
407,26,2/16/2022,3/21/2022,3/22/2022,71.61,358.05,34,5
409,30,2/5/2022,3/10/2022,3/12/2022,115.44,230.88,65,2
411,8,3/13/2022,4/16/2022,4/18/2022,1777.39,1777.39,48,1
412,20,2/25/2022,4/4/2022,4/6/2022,1178.5,1178.5,69,1
418,4,4/7/2022,5/29/2022,5/29/2022,85.45,427.25,1,5
420,17,3/9/2022,4/14/2022,4/14/2022,1868.39,1868.39,7,1
423,28,2/19/2022,3/22/2022,3/22/2022,939.67,1879.34,11,2
431,10,3/10/2022,5/3/2022,5/4/2022,244.065,1952.52,24,8
447,28,2/9/2022,4/4/2022,4/5/2022,314.0525,1256.21,27,4
449,25,4/25/2022,6/3/2022,6/6/2022,421.1233333,1263.37,72,3
452,27,3/4/2022,4/11/2022,4/12/2022,156.94,313.88,42,2
454,23,3/16/2022,5/1/2022,5/3/2022,224.3,224.3,49,1
461,17,3/24/2022,4/29/2022,5/1/2022,556.97,1670.91,60,3
468,3,4/17/2022,6/12/2022,6/13/2022,1269.69,1269.69,31,1
475,1,4/15/2022,5/23/2022,5/26/2022,19.45666667,116.74,72,6
476,19,4/26/2022,6/6/2022,6/7/2022,922.9,922.9,46,1
488,23,4/27/2022,6/22/2022,6/24/2022,388.5,388.5,70,1
491,24,2/24/2022,3/30/2022,4/1/2022,386.1633333,1158.49,58,3
494,27,2/3/2022,3/14/2022,3/16/2022,522.7133333,1568.14,62,3
495,3,2/26/2022,4/7/2022,4/8/2022,53.63,214.52,46,4
497,16,2/15/2022,3/24/2022,3/26/2022,342.178,1710.89,53,5
499,21,2/12/2022,4/4/2022,4/4/2022,97.59,390.36,14,4
503,4,6/7/2022,7/9/2022,7/10/2022,300.164,1500.82,44,5
512,11,9/27/2022,10/30/2022,11/1/2022,56.72166667,340.33,71,6
516,5,12/30/2022,2/19/2023,2/20/2023,44.15375,353.23,24,8
517,9,11/14/2022,1/9/2023,1/9/2023,218.68375,1749.47,11,8
521,22,7/7/2022,8/28/2022,8/28/2022,48.47375,387.79,15,8
522,7,8/17/2022,9/19/2022,9/20/2022,283.752,1418.76,40,5
523,6,8/17/2022,10/11/2022,10/13/2022,963.75,963.75,65,1
524,6,5/17/2022,6/27/2022,6/29/2022,660.48,660.48,64,1
526,20,12/18/2022,1/29/2023,1/30/2023,1410.51,1410.51,31,1
530,4,6/2/2022,7/26/2022,7/26/2022,476.6666667,1430,21,3
537,23,9/1/2022,10/28/2022,10/30/2022,919.03,919.03,54,1
541,21,12/8/2022,1/18/2023,1/19/2023,255.6157143,1789.31,46,7
553,22,7/29/2022,9/8/2022,9/9/2022,241.28,241.28,35,1
557,20,6/16/2022,8/1/2022,8/2/2022,1413.87,1413.87,24,1
558,13,7/3/2022,8/20/2022,8/22/2022,218.4633333,655.39,56,3
560,29,10/30/2022,12/20/2022,12/20/2022,64.085,512.68,1,8
569,21,11/12/2022,12/28/2022,12/29/2022,258.12,1548.72,26,6
575,12,7/6/2022,8/12/2022,8/12/2022,243.5525,974.21,12,4
581,29,7/20/2022,8/26/2022,8/28/2022,1340.77,1340.77,63,1
595,26,8/14/2022,10/12/2022,10/13/2022,1710.24,1710.24,35,1
596,8,8/17/2022,9/25/2022,9/27/2022,109.956,549.78,59,5
603,28,5/31/2022,7/9/2022,7/11/2022,1776.93,1776.93,51,1
613,5,10/23/2022,11/22/2022,11/22/2022,1414.84,1414.84,16,1
615,10,11/19/2022,12/26/2022,12/26/2022,1018.64,1018.64,21,1
617,3,9/14/2022,10/14/2022,10/15/2022,232.57,232.57,28,1
618,3,9/28/2022,11/27/2022,11/27/2022,1461.39,1461.39,11,1
623,24,12/1/2022,1/3/2023,1/3/2023,563.425,1126.85,15,2
627,10,11/23/2022,12/30/2022,12/30/2022,25.35,126.75,22,5
628,1,12/22/2022,1/26/2023,1/28/2023,802.44,802.44,55,1
631,20,12/8/2022,2/2/2023,2/2/2023,503.65,503.65,12,1
634,2,10/12/2022,11/19/2022,11/20/2022,209.6166667,1257.7,42,6
652,28,6/14/2022,7/16/2022,7/17/2022,100.1842857,701.29,25,7
661,22,10/15/2022,12/5/2022,12/5/2022,1743.62,1743.62,2,1
669,14,12/18/2022,1/31/2023,1/31/2023,724.65,724.65,20,1
672,18,12/26/2022,1/30/2023,1/30/2023,656.68,656.68,5,1
674,18,11/22/2022,1/6/2023,1/8/2023,307.05,614.1,66,2
675,1,12/15/2022,1/31/2023,2/2/2023,464.9,464.9,62,1
680,28,9/14/2022,11/9/2022,11/9/2022,74.644,373.22,12,5
682,4,6/1/2022,7/1/2022,7/3/2022,797.72,797.72,70,1
683,10,10/9/2022,11/15/2022,11/17/2022,64.79666667,194.39,56,3
688,21,8/9/2022,9/16/2022,9/18/2022,1116.89,1116.89,63,1
689,17,6/13/2022,8/12/2022,8/13/2022,202.63,202.63,37,1
694,19,9/15/2022,10/21/2022,10/22/2022,199.3142857,1395.2,25,7
697,14,12/25/2022,1/27/2023,1/27/2023,218.46,218.46,3,1
704,17,10/1/2022,11/2/2022,11/2/2022,879.435,1758.87,1,2
715,5,11/19/2022,1/17/2023,1/18/2023,154.036,770.18,41,5
717,7,9/30/2022,11/19/2022,11/20/2022,34.46,103.38,46,3
720,10,9/19/2022,10/29/2022,10/30/2022,1629.27,1629.27,30,1
721,25,10/23/2022,12/11/2022,12/11/2022,1514.22,1514.22,23,1
727,9,11/29/2022,12/29/2022,12/30/2022,599.78,599.78,31,1
730,24,12/13/2022,1/23/2023,1/25/2023,1655.4,1655.4,71,1
731,10,10/29/2022,12/10/2022,12/12/2022,101.12,404.48,68,4
732,20,12/9/2022,1/17/2023,1/19/2023,1873.54,1873.54,52,1
733,15,6/13/2022,8/1/2022,8/3/2022,220.032,1100.16,66,5
738,29,9/29/2022,11/13/2022,11/13/2022,1839.7,1839.7,16,1
744,4,11/24/2022,1/23/2023,1/25/2023,230.4,230.4,48,1
745,28,9/30/2022,11/29/2022,11/30/2022,112.6475,450.59,40,4
751,18,7/8/2022,8/28/2022,8/30/2022,1514.49,1514.49,71,1
753,30,12/26/2022,2/16/2023,2/17/2023,357.5566667,1072.67,29,3
755,12,7/27/2022,8/26/2022,8/26/2022,195.82,783.28,6,4
757,6,5/10/2022,6/20/2022,6/22/2022,769.28,769.28,56,1
762,23,6/11/2022,8/6/2022,8/6/2022,1057.02,1057.02,18,1
765,24,8/22/2022,9/27/2022,9/27/2022,132.0483333,792.29,21,6
766,25,9/5/2022,10/23/2022,10/24/2022,246.85375,1974.83,33,8
774,9,12/23/2022,1/23/2023,1/23/2023,124.005,496.02,16,4
777,27,11/22/2022,1/18/2023,1/20/2023,1593.81,1593.81,52,1
784,25,11/30/2022,1/23/2023,1/23/2023,934.59,1869.18,11,2
791,25,10/1/2022,11/30/2022,12/2/2022,175.64875,1405.19,54,8
796,3,11/3/2022,12/28/2022,12/29/2022,227.69,683.07,37,3
798,29,6/30/2022,8/23/2022,8/24/2022,466.3,466.3,44,1
803,6,11/8/2022,12/14/2022,12/16/2022,828.05,828.05,49,1
812,4,10/24/2022,12/16/2022,12/18/2022,343.44,686.88,54,2
814,15,11/16/2022,12/28/2022,12/30/2022,214.6314286,1502.42,65,7
816,1,5/15/2022,6/22/2022,6/24/2022,279.7,1678.2,49,6
821,23,7/26/2022,9/6/2022,9/6/2022,279.2142857,1954.5,16,7
832,28,8/5/2022,9/12/2022,9/14/2022,87.48,437.4,52,5
833,5,10/17/2022,11/19/2022,11/20/2022,1002.88,1002.88,44,1
835,4,7/31/2022,9/7/2022,9/8/2022,116.8671429,818.07,45,7
843,25,10/31/2022,12/25/2022,12/26/2022,620.1366667,1860.41,34,3
846,8,12/30/2022,2/4/2023,2/4/2023,67.2425,268.97,12,4
852,15,12/29/2022,2/3/2023,2/3/2023,427.46,427.46,7,1
857,9,8/30/2022,9/30/2022,9/30/2022,155.95,155.95,9,1
860,25,12/25/2022,2/1/2023,2/1/2023,109.4385714,766.07,13,7
864,23,9/1/2022,10/3/2022,10/4/2022,45.98625,367.89,41,8
867,6,12/4/2022,1/5/2023,1/7/2023,433.85,433.85,53,1
870,5,11/19/2022,12/19/2022,12/21/2022,202.8366667,1217.02,62,6
873,29,7/20/2022,8/26/2022,8/27/2022,1246.81,1246.81,30,1
883,9,5/28/2022,7/16/2022,7/17/2022,693.54,693.54,32,1
892,22,5/27/2022,7/20/2022,7/21/2022,527.41,527.41,32,1
897,17,12/5/2022,1/13/2023,1/15/2023,1967.5,1967.5,68,1
900,1,6/19/2022,7/23/2022,7/23/2022,398.98,797.96,20,2
902,28,8/18/2022,10/4/2022,10/6/2022,41.64625,333.17,67,8
907,4,8/27/2022,10/21/2022,10/21/2022,176.24125,1409.93,16,8
911,19,6/2/2022,7/2/2022,7/3/2022,373.83,1495.32,26,4
912,22,12/26/2022,2/9/2023,2/10/2023,1011.64,1011.64,36,1
916,18,5/8/2022,6/24/2022,6/25/2022,278.095,1668.57,24,6
919,30,10/30/2022,12/6/2022,12/8/2022,255.515,1533.09,57,6
928,20,8/9/2022,9/8/2022,9/9/2022,1020.3,1020.3,44,1
929,19,10/27/2022,12/21/2022,12/23/2022,1781.26,1781.26,59,1
934,21,10/15/2022,12/11/2022,12/11/2022,930.71,930.71,21,1
945,6,8/30/2022,10/6/2022,10/6/2022,241.652,1208.26,18,5
951,15,12/6/2022,2/4/2023,2/4/2023,1992.02,1992.02,6,1
955,2,7/8/2022,8/28/2022,8/30/2022,86.448,432.24,51,5
961,17,12/14/2022,2/2/2023,2/2/2023,139.6716667,838.03,23,6
962,20,12/12/2022,1/19/2023,1/19/2023,122.08375,976.67,4,8
966,18,11/25/2022,1/18/2023,1/20/2023,1225.88,1225.88,52,1
968,26,12/3/2022,1/25/2023,1/27/2023,167.3033333,501.91,60,3
970,26,8/6/2022,9/22/2022,9/22/2022,1829.68,1829.68,5,1
971,15,7/12/2022,9/6/2022,9/8/2022,177.4557143,1242.19,56,7
975,13,12/17/2022,1/31/2023,2/2/2023,391.37,1956.85,52,5
976,9,11/11/2022,12/16/2022,12/16/2022,393.402,1967.01,1,5
979,28,6/15/2022,8/3/2022,8/4/2022,111.52,111.52,39,1
983,24,6/19/2022,7/23/2022,7/23/2022,251.968,1259.84,17,5
985,22,12/29/2022,2/24/2023,2/24/2023,188.525,1508.2,22,8
986,24,11/1/2022,12/17/2022,12/17/2022,56.542,282.71,1,5
989,12,8/30/2022,10/17/2022,10/19/2022,119.6375,478.55,66,4
993,21,12/12/2022,1/21/2023,1/23/2023,888.37,888.37,62,1
998,6,6/23/2022,7/30/2022,7/31/2022,427.1575,1708.63,32,4
1005,25,10/24/2022,12/18/2022,12/20/2022,1286.02,1286.02,71,1
1011,20,11/7/2022,1/1/2023,1/2/2023,1590.84,1590.84,34,1
1012,23,7/23/2022,8/25/2022,8/25/2022,560.17,560.17,20,1
1020,15,12/13/2022,2/1/2023,2/1/2023,167.7,1173.9,3,7
1022,6,12/23/2022,2/12/2023,2/14/2023,1452.9,1452.9,67,1
1025,7,8/27/2022,10/10/2022,10/10/2022,197.352,986.76,7,5
1026,17,11/1/2022,12/7/2022,12/9/2022,706.97,706.97,66,1
1027,3,10/17/2022,12/12/2022,12/14/2022,1450.91,1450.91,70,1
1028,21,8/14/2022,9/29/2022,10/1/2022,117.3875,469.55,64,4
1031,19,9/10/2022,10/19/2022,10/19/2022,312.97,625.94,2,2
1032,13,11/18/2022,1/12/2023,1/13/2023,401.32,1203.96,38,3
1035,20,11/2/2022,12/15/2022,12/17/2022,170.8675,683.47,60,4
1036,17,12/22/2022,2/19/2023,2/21/2023,1377.97,1377.97,67,1
1037,29,6/12/2022,8/7/2022,8/8/2022,371.4466667,1114.34,33,3
1038,15,7/29/2022,8/31/2022,9/1/2022,175.23,175.23,43,1
1045,20,11/23/2022,1/14/2023,1/16/2023,1410.94,1410.94,48,1
1048,20,10/1/2022,11/28/2022,11/29/2022,848.5,848.5,30,1
1053,19,9/17/2022,11/11/2022,11/13/2022,158.85,1270.8,65,8
1055,23,6/18/2022,8/12/2022,8/13/2022,195.24,195.24,36,1
1056,6,10/14/2022,12/4/2022,12/5/2022,1116.44,1116.44,45,1
1059,29,12/20/2022,2/1/2023,2/1/2023,385.24,385.24,12,1
1070,4,8/10/2022,9/16/2022,9/17/2022,99.10166667,594.61,28,6
1072,14,9/28/2022,11/25/2022,11/26/2022,259.895,1039.58,39,4
1073,26,9/6/2022,10/17/2022,10/18/2022,687.14,687.14,46,1
1078,28,9/2/2022,10/25/2022,10/27/2022,29.42166667,176.53,49,6
1088,18,5/29/2022,7/14/2022,7/17/2022,310.36,310.36,72,1
1092,21,7/2/2022,8/20/2022,8/21/2022,48.86571429,342.06,46,7
1094,23,7/2/2022,8/24/2022,8/24/2022,185.35625,1482.85,6,8
1095,8,8/13/2022,9/29/2022,10/1/2022,1949.11,1949.11,70,1
1096,30,5/3/2022,6/27/2022,6/28/2022,350.705,701.41,34,2
1100,29,8/16/2022,9/25/2022,9/26/2022,52.38833333,314.33,46,6
1102,17,10/10/2022,11/26/2022,11/26/2022,89.8275,718.62,10,8
1105,2,5/31/2022,7/19/2022,7/20/2022,1287.84,1287.84,35,1
1107,23,11/22/2022,1/7/2023,1/9/2023,769.73,769.73,58,1
1108,6,12/5/2022,1/21/2023,1/23/2023,162.358,811.79,53,5
1113,17,10/16/2022,12/9/2022,12/11/2022,299.6,1198.4,65,4
1114,21,8/7/2022,9/7/2022,9/7/2022,168.75875,1350.07,11,8
1116,23,12/17/2022,1/21/2023,1/21/2023,326.662,1633.31,12,5
1120,23,5/22/2022,7/15/2022,7/17/2022,506.58,506.58,51,1
1121,13,8/19/2022,10/15/2022,10/17/2022,22.25,178,59,8
1125,20,11/8/2022,1/5/2023,1/7/2023,947.195,1894.39,64,2
1127,4,11/13/2022,12/17/2022,12/19/2022,524.87,524.87,62,1
1129,15,5/14/2022,7/12/2022,7/12/2022,1506.17,1506.17,6,1
1132,13,12/27/2022,2/15/2023,2/16/2023,192.8366667,1157.02,29,6
1134,21,6/26/2022,8/9/2022,8/12/2022,1648.46,1648.46,72,1
1136,9,10/27/2022,12/21/2022,12/23/2022,1836.21,1836.21,62,1
1141,3,11/13/2022,1/3/2023,1/4/2023,457.63,457.63,45,1
1145,26,9/12/2022,10/24/2022,10/24/2022,235.3885714,1647.72,9,7
1146,7,10/27/2022,12/24/2022,12/25/2022,340.142,1700.71,27,5
1147,24,6/27/2022,8/18/2022,8/20/2022,1648.11,1648.11,65,1
1150,17,11/8/2022,12/16/2022,12/16/2022,69.825,279.3,22,4
1152,1,8/29/2022,10/13/2022,10/14/2022,542.06,1084.12,40,2
1155,11,11/28/2022,1/18/2023,1/18/2023,360.584,1802.92,7,5
1156,13,12/7/2022,1/16/2023,1/17/2023,747.36,747.36,26,1
1158,26,5/20/2022,6/23/2022,6/24/2022,62.46875,499.75,34,8
1160,11,5/5/2022,6/28/2022,6/30/2022,1402.93,1402.93,51,1
1166,2,9/24/2022,11/15/2022,11/16/2022,229.065,458.13,40,2
1170,23,6/8/2022,7/16/2022,7/16/2022,247.725,1981.8,10,8
1171,11,8/11/2022,9/12/2022,9/12/2022,1175.69,1175.69,1,1
1182,3,6/5/2022,7/10/2022,7/11/2022,532.89,1598.67,28,3
1185,15,9/9/2022,10/10/2022,10/11/2022,202.0375,808.15,42,4
1188,14,12/24/2022,2/19/2023,2/19/2023,272.63,817.89,22,3
1195,10,10/29/2022,12/2/2022,12/3/2022,326.81,980.43,24,3
1201,1,8/27/2022,10/11/2022,10/12/2022,1537.4,1537.4,39,1
1207,3,12/26/2022,2/9/2023,2/9/2023,153.56,921.36,3,6
1210,19,12/22/2022,2/10/2023,2/12/2023,1641.85,1641.85,48,1
1211,9,11/29/2022,1/20/2023,1/21/2023,458.09,458.09,43,1
1214,11,10/21/2022,12/18/2022,12/19/2022,36.87,147.48,46,4
1220,6,8/29/2022,10/15/2022,10/15/2022,33.72,134.88,10,4
1227,3,10/24/2022,12/19/2022,12/21/2022,430.4675,1721.87,68,4
1230,25,7/12/2022,8/15/2022,8/16/2022,812.84,1625.68,34,2
1239,19,10/1/2022,11/30/2022,12/2/2022,141.37,141.37,49,1
1243,30,7/24/2022,8/24/2022,8/24/2022,1824.95,1824.95,18,1
1250,24,5/8/2022,7/6/2022,7/6/2022,265.04,265.04,23,1
1258,7,11/29/2022,1/1/2023,1/3/2023,326.12,1304.48,64,4
1266,16,11/10/2022,12/24/2022,12/24/2022,309.72,1858.32,19,6
1269,24,6/17/2022,7/18/2022,7/20/2022,1584.07,1584.07,62,1
1271,6,12/28/2022,2/26/2023,2/26/2023,1920.33,1920.33,17,1
1272,9,7/30/2022,9/17/2022,9/18/2022,132.88,398.64,33,3
1273,13,7/9/2022,8/21/2022,8/22/2022,111.99,111.99,24,1
1276,18,12/23/2022,1/31/2023,2/2/2023,223.0866667,669.26,66,3
1278,6,9/14/2022,11/10/2022,11/12/2022,332.43,1329.72,52,4
1279,29,10/11/2022,12/4/2022,12/4/2022,1500.93,1500.93,13,1
1285,6,9/12/2022,10/24/2022,10/24/2022,1425.08,1425.08,6,1
1287,15,6/1/2022,7/28/2022,7/28/2022,1163.04,1163.04,12,1
1288,19,6/14/2022,7/19/2022,7/19/2022,408.86,408.86,5,1
1292,13,11/26/2022,1/13/2023,1/13/2023,565.4666667,1696.4,17,3
1300,6,9/29/2022,11/7/2022,11/9/2022,556.76,556.76,48,1
1303,30,11/23/2022,1/1/2023,1/2/2023,285.1566667,1710.94,33,6
1307,18,7/27/2022,9/15/2022,9/16/2022,110.3985714,772.79,28,7
1309,24,10/11/2022,12/10/2022,12/12/2022,37.71666667,113.15,65,3
1310,22,7/13/2022,8/19/2022,8/19/2022,385.358,1926.79,21,5
1315,4,10/14/2022,11/15/2022,11/16/2022,800.32,1600.64,45,2
1316,3,5/7/2022,6/30/2022,7/2/2022,1022.07,1022.07,62,1
1317,20,11/16/2022,1/11/2023,1/11/2023,158.7725,1270.18,17,8
1318,10,10/13/2022,12/3/2022,12/3/2022,234.25,1874,18,8
1326,15,10/31/2022,12/18/2022,12/19/2022,115.6485714,809.54,26,7
1330,29,12/23/2022,1/22/2023,1/24/2023,897.9,1795.8,54,2
1332,7,8/14/2022,9/23/2022,9/25/2022,55.362,276.81,70,5
1333,7,6/7/2022,8/6/2022,8/7/2022,719.27,1438.54,34,2
1335,26,12/30/2022,2/24/2023,2/24/2023,280.055,1120.22,4,4
1338,25,12/25/2022,1/30/2023,1/30/2023,242.48,727.44,10,3
1340,2,5/4/2022,6/21/2022,6/23/2022,770.985,1541.97,59,2
1344,11,10/13/2022,11/23/2022,11/24/2022,180.4916667,1082.95,41,6
1349,1,8/29/2022,10/7/2022,10/10/2022,72.18428571,505.29,72,7
1351,1,12/8/2022,1/12/2023,1/12/2023,97.73375,781.87,13,8
1362,8,7/24/2022,9/7/2022,9/9/2022,1501.5,1501.5,48,1
1364,25,5/1/2022,6/16/2022,6/16/2022,102.7783333,616.67,6,6
1365,4,5/21/2022,6/29/2022,6/30/2022,151.04,1208.32,36,8
1368,28,9/10/2022,10/14/2022,10/16/2022,292.8533333,878.56,64,3
1371,6,12/5/2022,1/29/2023,1/31/2023,341.24,341.24,53,1
1372,10,11/28/2022,1/3/2023,1/4/2023,235.138,1175.69,31,5
